"Id","DiffId","ProjId","Language","ProjName","CommitSha","FileName","FileLengthBefore","FileLengthAfter","nDeletes","nInserts","nEdits","EditScript","RunTime1","RunTime2","RunTime3","RunTime4","RunTime5","RunTime6","RunTime7","RunTime8","RunTime9","RunTime10","RunTime"
"4571","29","21","XML","arthas","4b1fa89878c8c3c6b60f0e3d7790c310428952fa","assembly-doc.xml","19","18","1","0","1","['@@ -13 +12,0 @@']","0.0605957","0.0508448","0.0532926","0.0487017","0.0475397","0.0473969","0.0524518","0.0502544","0.0468745","0.0455005","0.0494781"
"4572","30","21","XML","arthas","4b1fa89878c8c3c6b60f0e3d7790c310428952fa","assembly.xml","47","41","7","1","8","['@@ -13 +12,0 @@', '@@ -18 +16,0 @@', '@@ -23 +20,0 @@', '@@ -28 +24,0 @@', '@@ -34 +29,0 @@', '@@ -35,0 +31 @@', '@@ -39 +34,0 @@', '@@ -44 +38,0 @@']","0.0623957","0.0503651","0.0509288","0.058406","0.0529833","0.0528075","0.0493373","0.0538653","0.048393","0.0468729","0.0518681"
"4573","31","21","XML","arthas","4b1fa89878c8c3c6b60f0e3d7790c310428952fa","pom.xml","67","67","2","2","4","['@@ -7 +7 @@', '@@ -45 +45 @@']","0.0637614","0.0488146","0.053916","0.0476337","0.0468821","0.0469096","0.0565455","0.047191","0.0498891","0.0475683","0.0482242"
"4574","32","21","XML","arthas","4b98af05a991ff3800632785702acd7acc014c83","pom.xml","71","72","0","1","1","['@@ -7,0 +8 @@']","0.0645302","0.0517399","0.0496417","0.0556319","0.053915","0.0535759","0.0513569","0.0531762","0.0472327","0.0459207","0.0524581"
"4575","33","21","XML","arthas","4bc2ef53e256668588a50fce0ac47cd132fdc144","pom.xml","125","134","1","10","11","['@@ -13,0 +14,8 @@', '@@ -81 +89 @@', '@@ -121,0 +130 @@']","0.062435","0.0479912","0.0519806","0.0478256","0.0482808","0.0466067","0.0500107","0.0474005","0.047991","0.0494154","0.048136"
"4576","34","21","XML","arthas","50513fd459669a32a32e79a3dc313188ed0c2d02","pom.xml","246","246","1","1","2","['@@ -90 +90 @@']","0.0605459","0.0538162","0.0474607","0.055651","0.0540714","0.0524899","0.054201","0.051587","0.0491584","0.0473795","0.053153"
"4577","35","21","XML","arthas","52dc60bae6c9aa22ca42b59562dd2bebbd4d8d2a","pom.xml","97","97","2","2","4","['@@ -78,2 +78,2 @@']","0.0580177","0.0497838","0.0540728","0.0475014","0.0469037","0.0468762","0.0478465","0.0571705","0.0501349","0.0467678","0.0488151"
"4578","36","21","XML","arthas","5465546f9cd713655c41a83d2b70bcbafb43a604","pom.xml","208","222","7","21","28","['@@ -60 +60 @@', '@@ -70,2 +70,2 @@', '@@ -95,2 +95,2 @@', '@@ -107,2 +107,2 @@', '@@ -113,0 +114,13 @@', '@@ -179,0 +193 @@']","0.0598291","0.0481769","0.0521639","0.0527639","0.0546537","0.0566543","0.0518329","0.0513149","0.0482385","0.0485506","0.0519984"
"4579","37","21","XML","arthas","54e4d0424aca39ff5b964d38fc8487855bc67d91","pom.xml","162","142","21","1","22","['@@ -7 +7 @@', '@@ -13,8 +12,0 @@', '@@ -73,12 +64,0 @@']","0.0621503","0.0532139","0.0561355","0.0507114","0.0479672","0.0489089","0.0496125","0.0531279","0.0492908","0.0486688","0.050162"
"4580","38","21","XML","arthas","551432da0aeaccc44bb9642f002d0e22adda8877","pom.xml","71","76","0","5","5","['@@ -14,0 +15,5 @@']","0.0573124","0.0472517","0.0589266","0.0547591","0.0522591","0.0523763","0.0542101","0.0474502","0.0476053","0.049323","0.0523177"
